,epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall,len_data
24,24,0.2230330854654312,0.125524565577507,0.3673408627510071,0.0001,1.0,0.0256212837994098,0.1399530917406082,0.075242131948471,0.4005215167999267,1.0,5.745302473769698e-07,50
25,25,0.2238610833883285,0.1260527521371841,0.3672230839729309,0.0001,1.0,0.0260316599160432,0.1507522314786911,0.0815311521291732,0.3947805762290954,1.0,0.0027290186844766,50
26,26,0.2245392501354217,0.1264843493700027,0.366650253534317,0.0001,1.0,0.0255929455161094,0.1581203639507293,0.0858663767576217,0.3911301493644714,1.0,0.004861291963607,50
27,27,0.2261690199375152,0.1275165230035781,0.3662617802619934,0.0001,1.0,0.0259045902639627,0.1480523943901062,0.0799530595541,0.3943014144897461,1.0,0.0023098031524568,50
28,28,0.2265906780958175,0.1277851015329361,0.3661013543605804,0.0001,1.0,0.0259867291897535,0.1431198418140411,0.0770806819200515,0.3958329558372497,1.0,0.0015225051902234,50
29,29,0.2272534817457199,0.1282062530517578,0.3660179078578949,0.0001,1.0,0.0262714400887489,0.1404022425413131,0.0755042433738708,0.3967392742633819,1.0,0.0009385909652337,50
30,30,0.2256305664777755,0.1271769702434539,0.3664949238300323,0.0001,1.0,0.0259098876267671,0.1642218232154846,0.0894798189401626,0.3871365785598755,1.0,0.0075470297597348,50
31,31,0.2243455201387405,0.1263585835695266,0.3668416440486908,0.0001,1.0,0.025673234835267,0.1728157550096511,0.0946196690201759,0.3840639293193817,1.0,0.0103965084999799,50
32,32,0.2246804237365722,0.1265683025121688,0.3668188154697418,0.0001,1.0,0.0258899107575416,0.1486646085977554,0.0803050324320793,0.3923004269599914,1.0,0.0032280939631164,50
33,33,0.225896880030632,0.1273452788591385,0.3664267957210541,0.0001,1.0,0.0261634532362222,0.1919681131839752,0.1062202304601669,0.3775007128715515,1.0,0.0161939021199941,50
34,34,0.22646065056324,0.1277046054601669,0.3659516870975494,0.0001,1.0,0.0258770193904638,0.1708147078752517,0.0934147238731384,0.3838290572166443,1.0,0.009563822299242,50
