,Model,Process Date,metrics,scores,type
205,unet,2023.06.02-20.30.15,F1,0.66,afm_optico
206,unet,2023.06.02-20.31.45,F1,0.9316239316239316,afm_optico
207,unet,2023.06.02-20.32.27,F1,0.8650793650793651,afm_optico
208,unet,2021.07.27-20.24.13,unet_F1,,afm_optico
209,unet,2022.04.09-22.15.32,unet_F1,,afm_optico
210,unet,2023.03.26-07.00.18,unet_F1,,afm_optico
211,unet,2023.03.26-07.02.39,unet_F1,,afm_optico
212,unet,2023.03.26-11.25.23,unet_F1,,afm_optico
213,unet,2023.03.26-11.28.40,unet_F1,,afm_optico
214,unet,2023.03.26-15.52.33,unet_F1,,afm_optico
215,unet,2023.03.26-15.53.37,unet_F1,,afm_optico
216,unet,2023.03.26-18.43.02,unet_F1,,afm_optico
217,unet,2023.03.26-18.45.32,unet_F1,,afm_optico
218,unet,2023.03.26-18.56.14,unet_F1,,afm_optico
219,unet,2023.03.26-18.59.12,unet_F1,,afm_optico
220,unet,2023.03.26-19.01.32,unet_F1,,afm_optico
221,unet,2023.03.26-22.54.06,unet_F1,,afm_optico
222,unet,2023.03.26-22.54.41,unet_F1,,afm_optico
223,unet,2023.03.26-22.56.46,unet_F1,,afm_optico
224,unet,2023.03.26-22.57.27,unet_F1,,afm_optico
225,unet,2023.03.28-22.27.27,unet_F1,,afm_optico
226,unet,2023.03.28-22.29.11,unet_F1,,afm_optico
227,unet,2023.03.28-22.40.02,unet_F1,,afm_optico
228,unet,2023.03.28-22.40.42,unet_F1,,afm_optico
229,unet,2023.03.28-22.41.32,unet_F1,,afm_optico
230,unet,2023.03.29-21.52.58,unet_F1,,afm_optico
231,unet,2023.03.29-21.54.34,unet_F1,,afm_optico
232,unet,2023.03.29-21.57.23,unet_F1,,afm_optico
233,unet,2023.03.29-22.03.33,unet_F1,,afm_optico
234,unet,2023.03.29-22.07.18,unet_F1,,afm_optico
235,unet,2023.03.30-12.27.27,unet_F1,,afm_optico
236,unet,2023.03.30-12.28.32,unet_F1,,afm_optico
237,unet,2023.03.30-12.29.32,unet_F1,,afm_optico
238,unet,2023.03.30-12.31.57,unet_F1,,afm_optico
239,unet,2023.03.30-12.33.04,unet_F1,,afm_optico
240,unet,2023.03.30-12.33.45,unet_F1,,afm_optico
241,unet,2023.03.30-16.13.37,unet_F1,,afm_optico
242,unet,2023.03.30-17.34.33,unet_F1,,afm_optico
243,unet,2023.03.30-19.58.05,unet_F1,,afm_optico
244,unet,2023.03.30-19.58.41,unet_F1,,afm_optico
245,unet,2023.03.30-20.03.56,unet_F1,,afm_optico
246,unet,2023.03.30-20.04.42,unet_F1,,afm_optico
247,unet,2023.06.02-19.19.46,unet_F1,,afm_optico
248,unet,2023.06.02-19.22.04,unet_F1,,afm_optico
249,unet,2023.06.02-19.22.49,unet_F1,,afm_optico
250,unet,2023.06.02-19.23.39,unet_F1,,afm_optico
251,unet,2023.06.02-19.28.13,unet_F1,,afm_optico
252,unet,2023.06.02-19.29.01,unet_F1,,afm_optico
253,unet,2023.06.02-19.38.05,unet_F1,,afm_optico
254,unet,2023.06.02-20.22.44,unet_F1,,afm_optico
255,unet,2023.06.02-20.23.50,unet_F1,,afm_optico
256,unet,2023.06.02-20.26.43,unet_F1,,afm_optico
257,unet,2023.06.02-20.30.15,unet_F1,,afm_optico
258,unet,2023.06.02-20.31.45,unet_F1,,afm_optico
259,unet,2023.06.02-20.32.27,unet_F1,,afm_optico
260,unet,2021.07.27-20.24.13,unet_Jaccard,,afm_optico
261,unet,2022.04.09-22.15.32,unet_Jaccard,,afm_optico
262,unet,2023.03.26-07.00.18,unet_Jaccard,,afm_optico
263,unet,2023.03.26-07.02.39,unet_Jaccard,,afm_optico
264,unet,2023.03.26-11.25.23,unet_Jaccard,,afm_optico
265,unet,2023.03.26-11.28.40,unet_Jaccard,,afm_optico
266,unet,2023.03.26-15.52.33,unet_Jaccard,,afm_optico
267,unet,2023.03.26-15.53.37,unet_Jaccard,,afm_optico
268,unet,2023.03.26-18.43.02,unet_Jaccard,,afm_optico
269,unet,2023.03.26-18.45.32,unet_Jaccard,,afm_optico
270,unet,2023.03.26-18.56.14,unet_Jaccard,,afm_optico
271,unet,2023.03.26-18.59.12,unet_Jaccard,,afm_optico
272,unet,2023.03.26-19.01.32,unet_Jaccard,,afm_optico
273,unet,2023.03.26-22.54.06,unet_Jaccard,,afm_optico
274,unet,2023.03.26-22.54.41,unet_Jaccard,,afm_optico
275,unet,2023.03.26-22.56.46,unet_Jaccard,,afm_optico
276,unet,2023.03.26-22.57.27,unet_Jaccard,,afm_optico
277,unet,2023.03.28-22.27.27,unet_Jaccard,,afm_optico
278,unet,2023.03.28-22.29.11,unet_Jaccard,,afm_optico
279,unet,2023.03.28-22.40.02,unet_Jaccard,,afm_optico
280,unet,2023.03.28-22.40.42,unet_Jaccard,,afm_optico
281,unet,2023.03.28-22.41.32,unet_Jaccard,,afm_optico
282,unet,2023.03.29-21.52.58,unet_Jaccard,,afm_optico
283,unet,2023.03.29-21.54.34,unet_Jaccard,,afm_optico
284,unet,2023.03.29-21.57.23,unet_Jaccard,,afm_optico
285,unet,2023.03.29-22.03.33,unet_Jaccard,,afm_optico
286,unet,2023.03.29-22.07.18,unet_Jaccard,,afm_optico
287,unet,2023.03.30-12.27.27,unet_Jaccard,,afm_optico
288,unet,2023.03.30-12.28.32,unet_Jaccard,,afm_optico
289,unet,2023.03.30-12.29.32,unet_Jaccard,,afm_optico
290,unet,2023.03.30-12.31.57,unet_Jaccard,,afm_optico
291,unet,2023.03.30-12.33.04,unet_Jaccard,,afm_optico
292,unet,2023.03.30-12.33.45,unet_Jaccard,,afm_optico
293,unet,2023.03.30-16.13.37,unet_Jaccard,,afm_optico
294,unet,2023.03.30-17.34.33,unet_Jaccard,,afm_optico
295,unet,2023.03.30-19.58.05,unet_Jaccard,,afm_optico
296,unet,2023.03.30-19.58.41,unet_Jaccard,,afm_optico
297,unet,2023.03.30-20.03.56,unet_Jaccard,,afm_optico
298,unet,2023.03.30-20.04.42,unet_Jaccard,,afm_optico
299,unet,2023.06.02-19.19.46,unet_Jaccard,,afm_optico
300,unet,2023.06.02-19.22.04,unet_Jaccard,,afm_optico
301,unet,2023.06.02-19.22.49,unet_Jaccard,,afm_optico
302,unet,2023.06.02-19.23.39,unet_Jaccard,,afm_optico
303,unet,2023.06.02-19.28.13,unet_Jaccard,,afm_optico
304,unet,2023.06.02-19.29.01,unet_Jaccard,,afm_optico
305,unet,2023.06.02-19.38.05,unet_Jaccard,,afm_optico
306,unet,2023.06.02-20.22.44,unet_Jaccard,,afm_optico
307,unet,2023.06.02-20.23.50,unet_Jaccard,,afm_optico
308,unet,2023.06.02-20.26.43,unet_Jaccard,,afm_optico
309,unet,2023.06.02-20.30.15,unet_Jaccard,,afm_optico
310,unet,2023.06.02-20.31.45,unet_Jaccard,,afm_optico
311,unet,2023.06.02-20.32.27,unet_Jaccard,,afm_optico
312,unet,2021.07.27-20.24.13,unet_Precision,,afm_optico
313,unet,2022.04.09-22.15.32,unet_Precision,,afm_optico
314,unet,2023.03.26-07.00.18,unet_Precision,,afm_optico
315,unet,2023.03.26-07.02.39,unet_Precision,,afm_optico
316,unet,2023.03.26-11.25.23,unet_Precision,,afm_optico
317,unet,2023.03.26-11.28.40,unet_Precision,,afm_optico
318,unet,2023.03.26-15.52.33,unet_Precision,,afm_optico
319,unet,2023.03.26-15.53.37,unet_Precision,,afm_optico
320,unet,2023.03.26-18.43.02,unet_Precision,,afm_optico
321,unet,2023.03.26-18.45.32,unet_Precision,,afm_optico
322,unet,2023.03.26-18.56.14,unet_Precision,,afm_optico
323,unet,2023.03.26-18.59.12,unet_Precision,,afm_optico
324,unet,2023.03.26-19.01.32,unet_Precision,,afm_optico
325,unet,2023.03.26-22.54.06,unet_Precision,,afm_optico
326,unet,2023.03.26-22.54.41,unet_Precision,,afm_optico
327,unet,2023.03.26-22.56.46,unet_Precision,,afm_optico
328,unet,2023.03.26-22.57.27,unet_Precision,,afm_optico
329,unet,2023.03.28-22.27.27,unet_Precision,,afm_optico
330,unet,2023.03.28-22.29.11,unet_Precision,,afm_optico
331,unet,2023.03.28-22.40.02,unet_Precision,,afm_optico
332,unet,2023.03.28-22.40.42,unet_Precision,,afm_optico
333,unet,2023.03.28-22.41.32,unet_Precision,,afm_optico
334,unet,2023.03.29-21.52.58,unet_Precision,,afm_optico
335,unet,2023.03.29-21.54.34,unet_Precision,,afm_optico
336,unet,2023.03.29-21.57.23,unet_Precision,,afm_optico
337,unet,2023.03.29-22.03.33,unet_Precision,,afm_optico
338,unet,2023.03.29-22.07.18,unet_Precision,,afm_optico
339,unet,2023.03.30-12.27.27,unet_Precision,,afm_optico
