,Model,model_len,Process Date,metrics,scores
108,unet,75 imagens,2023.03.26-18.43.02,Jaccard,0.8936170212765957
109,unet,75 imagens,2023.03.26-18.45.32,Jaccard,0.7867647058823529
110,unet,75 imagens,2023.03.26-18.56.14,Jaccard,0.7453703703703703
111,unet,75 imagens,2023.03.26-18.59.12,Jaccard,0.7732558139534884
112,unet,75 imagens,2023.03.26-19.01.32,Jaccard,0.7751479289940828
113,unet,75 imagens,2023.03.26-22.54.06,Jaccard,0.9140625
114,unet,75 imagens,2023.03.26-22.54.41,Jaccard,0.7660550458715596
115,unet,75 imagens,2023.03.26-22.56.46,Jaccard,0.6377952755905512
116,unet,75 imagens,2023.03.26-22.57.27,Jaccard,0.4495412844036697
117,unet,75 imagens,2023.03.28-22.27.27,Jaccard,0.8187919463087249
118,unet,75 imagens,2023.03.28-22.29.11,Jaccard,0.930635838150289
119,unet,75 imagens,2023.03.28-22.40.02,Jaccard,0.7714285714285715
120,unet,75 imagens,2023.03.28-22.40.42,Jaccard,0.8666666666666667
121,unet,75 imagens,2023.03.28-22.41.32,Jaccard,0.7121212121212122
122,unet,75 imagens,2023.03.29-21.52.58,Jaccard,0.6793893129770993
123,logisticRegression_proba,75 imagens,2023.03.29-21.54.34,Jaccard,0.2068965517241379
124,unet,75 imagens,2023.03.29-21.57.23,Jaccard,0.8125
125,unet,75 imagens,2023.03.29-22.03.33,Jaccard,0.8878504672897196
126,unet,75 imagens,2023.03.29-22.07.18,Jaccard,0.5602836879432624
127,unet,75 imagens,2023.03.30-12.27.27,Jaccard,0.4274193548387097
128,unet,75 imagens,2023.03.30-12.28.32,Jaccard,0.8431372549019608
129,unet,75 imagens,2023.03.30-12.29.32,Jaccard,0.6147540983606558
130,unet,75 imagens,2023.03.30-12.31.57,Jaccard,0.1376146788990825
131,unet,75 imagens,2023.03.30-12.33.04,Jaccard,0.9017857142857144
132,unet,75 imagens,2023.03.30-12.33.45,Jaccard,0.7483870967741936
133,unet,75 imagens,2023.03.30-16.13.37,Jaccard,0.8390243902439024
134,unet,75 imagens,2023.03.30-17.34.33,Jaccard,0.8862275449101796
135,unet,75 imagens,2023.03.30-19.58.05,Jaccard,0.6467661691542289
136,unet,75 imagens,2023.03.30-19.58.41,Jaccard,0.675531914893617
137,unet,75 imagens,2023.03.30-20.03.56,Jaccard,0.7615894039735099
138,unet,75 imagens,2023.03.30-20.04.42,Jaccard,0.8604651162790697
139,unet,75 imagens,2023.06.02-19.19.46,Jaccard,0.6956521739130435
140,unet,75 imagens,2023.06.02-19.22.04,Jaccard,0.8538011695906432
141,unet,75 imagens,2023.06.02-19.22.49,Jaccard,0.859504132231405
142,unet,75 imagens,2023.06.02-19.23.39,Jaccard,0.6927710843373494
143,unet,75 imagens,2023.06.02-19.28.13,Jaccard,0.7761194029850746
144,unet,75 imagens,2023.06.02-19.29.01,Jaccard,0.5674418604651162
145,unet,75 imagens,2023.06.02-19.38.05,Jaccard,0.6710526315789473
146,unet,75 imagens,2023.06.02-20.22.44,Jaccard,0.6209677419354839
147,unet,75 imagens,2023.06.02-20.23.50,Jaccard,0.8549618320610687
148,unet,75 imagens,2023.06.02-20.26.43,Jaccard,0.6619718309859155
149,unet,75 imagens,2023.06.02-20.30.15,Jaccard,0.1452991452991453
150,unet,75 imagens,2023.06.02-20.31.45,Jaccard,0.84
151,unet,75 imagens,2023.06.02-20.32.27,Jaccard,0.7032258064516129
152,unet,100 imagens,2023.03.26-07.00.18,Jaccard,0.3471337579617834
153,unet,100 imagens,2023.03.26-07.02.39,Jaccard,0.8308457711442786
154,unet,100 imagens,2023.03.26-11.25.23,Jaccard,0.4428571428571428
155,unet,100 imagens,2023.03.26-11.28.40,Jaccard,0.5568181818181818
156,unet,100 imagens,2023.03.26-15.52.33,Jaccard,0.8021978021978022
157,unet,100 imagens,2023.03.26-15.53.37,Jaccard,0.8571428571428571
158,unet,100 imagens,2023.03.26-18.43.02,Jaccard,0.8758620689655172
159,unet,100 imagens,2023.03.26-18.45.32,Jaccard,0.8515625
160,unet,100 imagens,2023.03.26-18.56.14,Jaccard,0.8205128205128205
161,unet,100 imagens,2023.03.26-18.59.12,Jaccard,0.8481012658227848
162,unet,100 imagens,2023.03.26-19.01.32,Jaccard,0.6686390532544378
163,unet,100 imagens,2023.03.26-22.54.06,Jaccard,0.904
164,unet,100 imagens,2023.03.26-22.54.41,Jaccard,0.8577981651376146
165,unet,100 imagens,2023.03.26-22.56.46,Jaccard,0.3464566929133858
166,unet,100 imagens,2023.03.26-22.57.27,Jaccard,0.1848341232227488
167,unet,100 imagens,2023.03.28-22.27.27,Jaccard,0.7610062893081762
168,unet,100 imagens,2023.03.28-22.29.11,Jaccard,0.8488372093023255
169,unet,100 imagens,2023.03.28-22.40.02,Jaccard,0.8811881188118812
170,unet,100 imagens,2023.03.28-22.40.42,Jaccard,0.8478260869565217
171,unet,100 imagens,2023.03.28-22.41.32,Jaccard,0.6992481203007519
172,unet,100 imagens,2023.03.29-21.52.58,Jaccard,0.7166666666666667
173,logisticRegression_proba,100 imagens,2023.03.29-21.54.34,Jaccard,0.2068965517241379
174,unet,100 imagens,2023.03.29-21.57.23,Jaccard,0.7243589743589743
175,unet,100 imagens,2023.03.29-22.03.33,Jaccard,0.8371040723981901
176,unet,100 imagens,2023.03.29-22.07.18,Jaccard,0.2538461538461538
177,unet,100 imagens,2023.03.30-12.27.27,Jaccard,0.6693548387096774
178,unet,100 imagens,2023.03.30-12.28.32,Jaccard,0.9411764705882352
179,unet,100 imagens,2023.03.30-12.29.32,Jaccard,0.3144654088050314
180,unet,100 imagens,2023.03.30-12.31.57,Jaccard,0.3119266055045872
181,unet,100 imagens,2023.03.30-12.33.04,Jaccard,0.8448275862068966
182,unet,100 imagens,2023.03.30-12.33.45,Jaccard,0.8071428571428572
183,unet,100 imagens,2023.03.30-16.13.37,Jaccard,0.848780487804878
184,unet,100 imagens,2023.03.30-17.34.33,Jaccard,0.8713450292397661
185,unet,100 imagens,2023.03.30-19.58.05,Jaccard,0.6954314720812182
186,unet,100 imagens,2023.03.30-19.58.41,Jaccard,0.5513513513513514
187,unet,100 imagens,2023.03.30-20.03.56,Jaccard,0.7402597402597403
188,unet,100 imagens,2023.03.30-20.04.42,Jaccard,0.8790322580645161
189,unet,100 imagens,2023.06.02-19.19.46,Jaccard,0.6666666666666666
190,unet,100 imagens,2023.06.02-19.22.04,Jaccard,0.8809523809523809
191,unet,100 imagens,2023.06.02-19.22.49,Jaccard,0.832
192,unet,100 imagens,2023.06.02-19.23.39,Jaccard,0.688622754491018
193,unet,100 imagens,2023.06.02-19.28.13,Jaccard,0.8253968253968254
194,unet,100 imagens,2023.06.02-19.29.01,Jaccard,0.5781990521327014
195,unet,100 imagens,2023.06.02-19.38.05,Jaccard,0.7361111111111112
196,unet,100 imagens,2023.06.02-20.22.44,Jaccard,0.7426470588235294
197,unet,100 imagens,2023.06.02-20.23.50,Jaccard,0.8615384615384616
198,unet,100 imagens,2023.06.02-20.26.43,Jaccard,0.775
199,unet,100 imagens,2023.06.02-20.30.15,Jaccard,0.4927536231884058
200,unet,100 imagens,2023.06.02-20.31.45,Jaccard,0.8449612403100775
201,unet,100 imagens,2023.06.02-20.32.27,Jaccard,0.7124183006535948
202,logisticRegression,50 imagens,2023.03.26-07.00.18,Jaccard,0.5360824742268041
203,unet,50 imagens,2023.03.26-07.02.39,Jaccard,0.7638190954773869
204,logisticRegression_proba,50 imagens,2023.03.26-11.25.23,Jaccard,0.4777777777777778
205,logisticRegression_proba,50 imagens,2023.03.26-11.28.40,Jaccard,0.5176056338028169
206,unet,50 imagens,2023.03.26-15.52.33,Jaccard,0.1555555555555555
207,unet,50 imagens,2023.03.26-15.53.37,Jaccard,0.823943661971831
208,unet,50 imagens,2023.03.26-18.43.02,Jaccard,0.8857142857142857
209,unet,50 imagens,2023.03.26-18.45.32,Jaccard,0.0
210,unet,50 imagens,2023.03.26-18.56.14,Jaccard,0.8306878306878307
211,unet,50 imagens,2023.03.26-18.59.12,Jaccard,0.8431372549019608
212,unet,50 imagens,2023.03.26-19.01.32,Jaccard,0.6049382716049383
213,unet,50 imagens,2023.03.26-22.54.06,Jaccard,0.7142857142857143
214,unet,50 imagens,2023.03.26-22.54.41,Jaccard,0.6790697674418604
215,logisticRegression_proba,50 imagens,2023.03.26-22.56.46,Jaccard,0.1756097560975609
216,logisticRegression_proba,50 imagens,2023.03.26-22.57.27,Jaccard,0.4135021097046413
217,unet,50 imagens,2023.03.28-22.27.27,Jaccard,0.7549668874172185
218,unet,50 imagens,2023.03.28-22.29.11,Jaccard,0.8081395348837209
219,unet,50 imagens,2023.03.28-22.40.02,Jaccard,0.7938144329896907
220,unet,50 imagens,2023.03.28-22.40.42,Jaccard,0.8435754189944135
221,unet,50 imagens,2023.03.28-22.41.32,Jaccard,0.8230088495575221
222,unet,50 imagens,2023.03.29-21.52.58,Jaccard,0.3135593220338983
223,unet,50 imagens,2023.03.29-21.54.34,Jaccard,0.3539823008849557
224,unet,50 imagens,2023.03.29-21.57.23,Jaccard,0.8273381294964028
225,unet,50 imagens,2023.03.29-22.03.33,Jaccard,0.7004608294930875
226,unet,50 imagens,2023.03.29-22.07.18,Jaccard,0.1384615384615384
227,logisticRegression_proba,50 imagens,2023.03.30-12.27.27,Jaccard,0.5
228,unet,50 imagens,2023.03.30-12.28.32,Jaccard,0.8287671232876712
229,unet,50 imagens,2023.03.30-12.29.32,Jaccard,0.3106060606060606
230,unet,50 imagens,2023.03.30-12.31.57,Jaccard,0.5545454545454546
231,unet,50 imagens,2023.03.30-12.33.04,Jaccard,0.3669724770642202
232,unet,50 imagens,2023.03.30-12.33.45,Jaccard,0.6834532374100719
233,unet,50 imagens,2023.03.30-16.13.37,Jaccard,0.8333333333333334
234,unet,50 imagens,2023.03.30-17.34.33,Jaccard,0.906832298136646
235,unet,50 imagens,2023.03.30-19.58.05,Jaccard,0.4162162162162162
236,unet,50 imagens,2023.03.30-19.58.41,Jaccard,0.2989130434782608
237,unet,50 imagens,2023.03.30-20.03.56,Jaccard,0.6326530612244898
238,unet,50 imagens,2023.03.30-20.04.42,Jaccard,0.8650793650793651
239,unet,50 imagens,2023.06.02-19.19.46,Jaccard,0.8055555555555556
240,unet,50 imagens,2023.06.02-19.22.04,Jaccard,0.8271604938271605
241,unet,50 imagens,2023.06.02-19.22.49,Jaccard,0.864406779661017
242,unet,50 imagens,2023.06.02-19.23.39,Jaccard,0.6686390532544378
243,unet,50 imagens,2023.06.02-19.28.13,Jaccard,0.8062015503875969
244,unet,50 imagens,2023.06.02-19.29.01,Jaccard,0.6455026455026455
245,unet,50 imagens,2023.06.02-19.38.05,Jaccard,0.6357615894039735
246,unet,50 imagens,2023.06.02-20.22.44,Jaccard,0.7122302158273381
247,unet,50 imagens,2023.06.02-20.23.50,Jaccard,0.706766917293233
248,unet,50 imagens,2023.06.02-20.26.43,Jaccard,0.7815126050420168
249,unet,50 imagens,2023.06.02-20.30.15,Jaccard,0.5652173913043478
250,unet,50 imagens,2023.06.02-20.31.45,Jaccard,0.696969696969697
251,unet,50 imagens,2023.06.02-20.32.27,Jaccard,0.7077922077922078
252,logisticRegression,226 somente optico,2023.03.26-07.00.18,Jaccard,0.5360824742268041
253,unet,226 somente optico,2023.03.26-07.02.39,Jaccard,0.3928571428571428
254,logisticRegression_proba,226 somente optico,2023.03.26-11.25.23,Jaccard,0.4777777777777778
255,logisticRegression_proba,226 somente optico,2023.03.26-11.28.40,Jaccard,0.5176056338028169
256,unet,226 somente optico,2023.03.26-15.52.33,Jaccard,0.1555555555555555
257,unet,226 somente optico,2023.03.26-15.53.37,Jaccard,0.2179487179487179
258,unet,226 somente optico,2023.03.26-18.43.02,Jaccard,0.3088235294117647
259,unet,226 somente optico,2023.03.26-18.45.32,Jaccard,0.0
260,unet,226 somente optico,2023.03.26-18.56.14,Jaccard,0.1696969696969697
